,Country,HDI_Tier,HDI_2022,HDI_2021,HDI_1990,Continent,HDI_Rank,Life_Expectancy_At_Birth_Years_2022,Expected_Years_Of_Schooling_Years_2022,Mean_Years_Of_Schooling_Years_2022,Gross_National_Income_Per_Capital_2022,Change_HDI_2022_21,Result_HDI_2022_21,Happiness_Score_2022
87,Panama,Very High,0.82,0.813,0.672,Transcontinental,57,76.8,13.2,10.7,32029,0.007,Positive / Improvement,6.309
89,Paraguay,High,0.731,0.73,0.604,South America,102,70.5,13.9,8.9,13161,0.001,Positive / Improvement,5.578
90,Peru,High,0.762,0.755,0.62,South America,87,73.4,14.8,10,11916,0.007,Positive / Improvement,5.559
91,Philippines,High,0.71,0.692,0.598,Asia,113,72.2,12.8,9,9059,0.018,Positive / Improvement,5.904
92,Poland,Very High,0.881,0.876,0.715,Europe,36,77,15.9,13.2,35151,0.005,Positive / Improvement,6.123
93,Portugal,Very High,0.874,0.865,0.703,Europe,42,82.2,16.8,9.6,35315,0.009,Positive / Improvement,6.016
95,Romania,Very High,0.827,0.825,0.709,Europe,53,74.1,14.5,11.4,31641,0.002,Positive / Improvement,6.477
99,Saudi Arabia,Very High,0.875,0.867,0.699,Asia,40,77.9,15.2,11.3,50620,0.008,Positive / Improvement,6.523
100,Senegal,Low,0.517,0.512,0.371,Africa,169,67.9,9.1,2.9,3464,0.005,Positive / Improvement,5.046
101,Sierra Leone,Low,0.458,0.456,0.314,Africa,184,60.4,9,3.5,1613,0.002,Positive / Improvement,3.574
102,Singapore,Very High,0.949,0.942,0.78,Asia,9,84.1,16.9,11.9,88761,0.007,Positive / Improvement,6.48
103,South Africa,High,0.717,0.721,0.635,Africa,110,61.5,14.3,11.6,13186,-0.004,Negative / Deterioration,5.194
104,Spain,Very High,0.911,0.904,0.762,Europe,27,83.9,17.8,10.6,40043,0.007,Positive / Improvement,6.476
105,Sri Lanka,High,0.78,0.783,0.641,Asia,78,76.6,13.6,11.2,11899,-0.003,Negative / Deterioration,4.362
107,Sweden,Very High,0.952,0.949,0.808,Europe,5,83.5,19,12.7,56996,0.003,Positive / Improvement,7.384
108,Switzerland,Very High,0.967,0.965,0.85,Europe,1,84.3,16.6,13.9,69433,0.002,Positive / Improvement,7.512
109,Tajikistan,Medium,0.679,0.677,0.616,Asia,126,71.3,10.9,11.3,4807,0.002,Positive / Improvement,5.377
110,Thailand,Very High,0.803,0.797,0.581,Asia,66,79.7,15.6,8.8,16887,0.006,Positive / Improvement,5.891
111,Togo,Low,0.547,0.545,0.399,Africa,163,61.6,13,5.6,2214,0.002,Positive / Improvement,4.112
114,Tunisia,High,0.732,0.729,0.566,Africa,101,74.3,14.6,8,10297,0.003,Positive / Improvement,4.516
116,Uganda,Medium,0.55,0.545,0.329,Africa,159,63.6,11.5,6.2,2241,0.005,Positive / Improvement,4.603
117,Ukraine,High,0.734,0.755,0.731,Europe,100,68.6,13.3,11.1,11416,-0.021,Negative / Deterioration,5.084
118,United Arab Emirates,Very High,0.937,0.931,0.717,Asia,17,79.2,17.2,12.8,74104,0.006,Positive / Improvement,6.576
119,United Kingdom,Very High,0.94,0.931,0.804,Europe,15,82.2,17.6,13.4,46624,0.009,Positive / Improvement,6.943
120,United States,Very High,0.927,0.921,0.875,North America,20,78.2,16.4,13.6,65565,0.006,Positive / Improvement,6.977
121,Uruguay,Very High,0.83,0.814,0.702,South America,52,78,17.4,9.1,22207,0.016,Positive / Improvement,6.474
122,Yemen,Low,0.424,0.425,0.357,Asia,186,63.7,7.9,2.8,1106,-0.001,Negative / Deterioration,4.197
123,Zambia,Medium,0.569,0.565,0.417,Africa,153,61.8,11,7.3,3157,0.004,Positive / Improvement,3.76
124,Zimbabwe,Medium,0.55,0.549,0.479,Africa,159,59.4,11,8.8,2079,0.001,Positive / Improvement,2.995
